exp_id,exp_title,exp_img,exp_tip
1,Introduction to Laboratory Equipment,under_development.jpg,Tip_exp1.html
2,Coulombs Law,under_development.jpg,Tip_exp2.html
3,Field Mapping and Gauss's Law,under_development.jpg,Tip_exp3.html
4,Speed of Light in a Fibre,under_development.jpg,Tip_exp4.html
5,Capacitors,under_development.jpg,Tip_exp5.html
6,The Frequency Domain,under_development.jpg,Tip_exp6.html
7,Spectra of the Space Station,under_development.jpg,Tip_exp7.html
8,Resistivity,under_development.jpg,Tip_exp8.html
9,Helmholtz Coils and Magnetic Forces,under_development.jpg,Tip_exp9.html
10,Induction,under_development.jpg,Tip_exp10.html
